"sc-96aae91e-0 href","sc-96aae91e-0","sc-96aae91e-0 2","sc-96aae91e-0 3"
"https://apify.com/vincario/vincario-vin-decoder-api-services","Vincario VIN Decoder API Services","vincario/vincario-vin-decoder-api-services","Powerful Vincario plugin to extract data from API responses. Download Vincario data as a JSON to enrich your own applications with a powerful vehicle data partner."
"https://apify.com/jupri/apify-store","Apify Store Scraper","jupri/apify-store","Scrape Apify.com Store"
"https://apify.com/mshopik/crown-and-caliber-scraper","Crown Caliber Scraper","mshopik/crown-and-caliber-scraper","Scrape Crown Caliber and extract data on clothing accessories from crownandcaliber.com. Our Crown Caliber API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/dainty_screw/your-go-to-web-scraper-for-all-kinds-of-websites","Your Go-To Web Scraper for All Kinds of Websites","dainty_screw/your-go-to-web-scraper-for-all-kinds-of-websites","Efficiently scrape blog content from various websites with our versatile Apify actor. Simplify your data collection process and access valuable insights easily. Perfect for market research, content curation, and staying ahead in your niche"
"https://apify.com/mshopik/culture-kings-scraper","Culture Kings Scraper","mshopik/culture-kings-scraper","Scrape Culture Kings and extract data on apparel from culturekings.com.au. Our Culture Kings API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/scrapingxpert/redfin-agent-reviews-scraper","Redfin agent reviews scraper","scrapingxpert/redfin-agent-reviews-scraper",""
"https://apify.com/service-paradis/kijiji-crawler","Kijiji Crawler","service-paradis/kijiji-crawler","The Kijiji crawler is a web scraping tool that allows you to extract data from the Kijiji selling platform. With this crawler, you can get information search results and local advertisement details."
"https://apify.com/mshopik/g-fuel-scraper","FUEL Scraper","mshopik/g-fuel-scraper","Scrape FUEL and extract data on soft drinks from gfuel.com. Our FUEL API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/canadesk/zoho","Zoho Help Center","canadesk/zoho","Get Categories and Articles from a Zoho Desk Help Center. It's fast and costs little."
"https://apify.com/jupri/trivago-scraper","Trivago Scraper 🚧","jupri/trivago-scraper","Scrape Trivago.com Accomodations"
"https://apify.com/lukaskrivka/google-search-live","Google Search Scraper For Live App","lukaskrivka/google-search-live","A simple version of Google Search Scraper optimized for fast response time. Don't use it unless you really need a sub-5-second response because it is less flexible and reliable."
"https://apify.com/web.harvester/gab-search-scraper","Gab Search Scraper","web.harvester/gab-search-scraper","Scrape search results and accounts and groups' info as well as the posts and comments of accounts and groups from Gab's website. Download your data in any format (JSON, CSV, XML, RSS, HTML Table). Seamless integration with apps, reports, and databases."
"https://apify.com/eneiromatos/ultimate-aldi-scraper","Ultimate ALDI Scraper","eneiromatos/ultimate-aldi-scraper","This is the ultimate web scraping and tool for extracting the most relevant data points from products on new.aldi.us! Developed by an expert software developer, this powerful scraper is a fast and reliable tool for all your web scraping needs."
"https://apify.com/glitch_404/ultimate-news-scraper","Ultimate News API","glitch_404/Ultimate-News-Scraper","You Can Now Scrape Over 400+ Website's Daily Fresh News
Scrape over 200 Daily Fresh Articles from the most Famouse News Agencies in the world
The NewYork Times, TheWashington Post, CNN, Los Angeles Times, Reuters, USA Today, BBC and a lot More

From Now on You Have Unlimited Fresh News and Data"
"https://apify.com/mtrunkat/24-hour-stats","24 Hour Stats","mtrunkat/24-hour-stats","This act can be used as synchronous API. Returns a JSON containing actor runs finished in the last 24 hours along with information about their default datasets and request queues. Actors might be filtered via input array ""actIds""."
"https://apify.com/mshopik/leons-scraper","Leon's Scraper","mshopik/leons-scraper","Scrape Leon's and extract data on home furnishings from leons.ca. Our Leon's API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/saswave/linkedin-who-viewed-my-profile-free","Linkedin Who Viewed My Profile [Free Account]","saswave/linkedin-who-viewed-my-profile-free","Allows you to extract data about who viewed your linkedin profile (up to 90 days and after)."
"https://apify.com/mshopik/wigscom-scraper","Wigs.com Scraper","mshopik/wigscom-scraper","Scrape Wigs.com and extract data on hair care from wigs.com. Our Wigs.com API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/dainty_screw/expedia-hotel-collector---store-and-analyze-data","Expedia Hotel Data Aggregator - Organize and Examine Insights","dainty_screw/expedia-hotel-collector---store-and-analyze-data","Effortlessly gather and store key details of Expedia hotels, including names, ratings, and prices. Use our tool for competitive analysis and strategic planning in the hospitality sector."
"https://apify.com/pintostudio/espn-nba-news","ESPN Nba News","pintostudio/espn-nba-news","This actor retrieves all the latest nba news."
"https://apify.com/mshopik/pat-mcgrath-labs-scraper","PAT McGRATH LABS Scraper","mshopik/pat-mcgrath-labs-scraper","Scrape PAT McGRATH LABS and extract data on make-up and cosmetics from patmcgrath.com. Our PAT McGRATH LABS API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/apricot_ybeare/get-email-health-status","Get Email Health Status","apricot_ybeare/get-email-health-status","Gets email health status using mxtoolbox (https://mxtoolbox.com/emailhealth)"
"https://apify.com/medicare_tools/medicarecenter-data-extractor","MedicareLINK (Sunfire) to csv","medicare_tools/medicarecenter-data-extractor","Extract your enrollments in MedicareLINK (Sunfire) into a csv file."
"https://apify.com/jirimoravcik/julia-actor-example","Actor in Julia example","jirimoravcik/julia-actor-example","Example actor written in Julia."
"https://apify.com/azzouzana/bienici-com-search-pages-scraper","bienici.com search pages scraper","azzouzana/bienici-com-search-pages-scraper","👉 Fast, cheap & resilient 👌 Bring your search url & you're good to go 🚀
👉 Export your results to json, excel, csv & many others formats."
"https://apify.com/aymorato/eventbrite-scraper","EventBrite Scraper","aymorato/eventbrite-scraper","Easily extract event details from Eventbrite.com, such as event titles, images, descriptions, and more."
"https://apify.com/lukass/covid-est","Coronavirus stats in Estonia","lukass/covid-est","Gets an actual number of examined and infected people by COVID-19 in Estonia from https://www.terviseamet.ee/en/covid19."
"https://apify.com/vdusek/scrapy-books-example","Scrapy Books Example","vdusek/scrapy-books-example","Example of Python Scrapy project. It scrapes book data from https://books.toscrape.com/."
"https://apify.com/mshopik/couture-candy-scraper","Couture Candy Scraper","mshopik/couture-candy-scraper","Scrape Couture Candy and extract data on women's clothing from couturecandy.com. Our Couture Candy API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/vanquish-fitness-scraper","Vanquish Fitness Scraper","mshopik/vanquish-fitness-scraper","Scrape Vanquish Fitness and extract data on athletic apparel from vqfit.com. Our Vanquish Fitness API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/fjvs0283/actor-batch-builder","Actor Build Starter","fjvs0283/actor-batch-builder","Run builds for multiple actors in your account simultaneously. This can be useful when many actors in a given project have been updated. For example, the documentation might have been updated in 50 actors. This tool will help you trigger actor builds for all 50 at once."
"https://apify.com/aaron/dropbox-upload-actor","Dropbox Upload Actor","aaron/dropbox-upload-actor","Streams file from URL to a dropbox account."
"https://apify.com/mshopik/kick-game-scraper","Kick Game Scraper","mshopik/kick-game-scraper","Scrape Kick Game and extract data on footwear from kickgame.co.uk. Our Kick Game API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/valek.josef/utils-pipe","Utils/Pipe","valek.josef/utils-pipe",""
"https://apify.com/mshopik/campmor-scraper","Campmor Scraper","mshopik/campmor-scraper","Scrape Campmor and extract data on hiking and camping from campmor.com. Our Campmor API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/the-couture-club-scraper","The Couture Club Scraper","mshopik/the-couture-club-scraper","Scrape The Couture Club and extract data on women's clothing from thecoutureclub.com. Our The Couture Club API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/wholesome-culture-scraper","Wholesome Culture Scraper","mshopik/wholesome-culture-scraper","Scrape Wholesome Culture and extract data on apparel from wholesomeculture.com. Our Wholesome Culture API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/zippocom-scraper","Zippo.com Scraper","mshopik/zippocom-scraper","Scrape Zippo.com and extract data on tobacco from zippo.com. Our Zippo.com API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/canadesk/partnerbase","Partnerbase","canadesk/partnerbase","Research new opportunities in your ecosystem with the world's largest database of partnerships! It's fast and costs little."
"https://apify.com/powerful_bachelor/facebook-reviews-scraper","Facebook Reviews Scraper","powerful_bachelor/Facebook-Reviews-Scraper","Facebook Reviews Scraper is a powerful tool for extracting detailed customer feedback from Facebook pages. It enables users to analyze ratings, review content, and trends for brand reputation management and market research, exporting data in various formats."
"https://apify.com/kuaima/douban-book-pro","douban book pro","kuaima/douban-book-pro","An actor to get data from douban book site with more useful information. For simple usage, please check the free one https://apify.com/kuaima/douban."
"https://apify.com/mshopik/france-and-son-scraper","France Son Scraper","mshopik/france-and-son-scraper","Scrape France Son and extract data on home furnishings from franceandson.com. Our France Son API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/aymorato/fast-linkedin-ad-library-scraper-pay-per-result","Fast LinkedIn Ad Library Scraper (pay per result)","aymorato/fast-linkedin-ad-library-scraper-pay-per-result","Easily Scrape LinkedIn's Unlimited Scroll Ad Library without the Need for Proxies."
"https://apify.com/mshopik/teabox-scraper","Teabox Scraper","mshopik/teabox-scraper","Scrape Teabox and extract data on coffee and tea from teabox.com. Our Teabox API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/shoe-city-scraper","Shoe City Scraper","mshopik/shoe-city-scraper","Scrape Shoe City and extract data on footwear from shoecity.com. Our Shoe City API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/maria.f/news-au-scraper","News AU Scraper","maria.f/news-au-scraper","Scrape news data from news.com.au with this unofficial API. Extract articles, monitor their popularity and performance and automate the fight against fake news. Filter the results by authors, topics, categories, or publication dates. Preview or download the results in your preferred format."
"https://apify.com/travelspider/flights-scraper","Flights Scraper","travelspider/flights-scraper","Automated actor for scraping flight options, providing JSON data for seamless integration into travel planning tools. Streamline your flight search process and save time with accurate, up-to-date information."
"https://apify.com/saswave/crunchbase-session-cookies","Crunchbase Session Cookies","saswave/crunchbase-session-cookies","With login password, get your session cookies.
Before each run, we test previous session cookies generated from last run. If still valid, they are returned, else we generate new cookies"
"https://apify.com/mshopik/the-brick-scraper","The Brick Scraper","mshopik/the-brick-scraper","Scrape The Brick and extract data on home furnishings from thebrick.com. Our The Brick API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mnmkng/rebuilder","Rebuilder","mnmkng/rebuilder","Rebuild your actors easily with a simple regular expression. This actor will fetch all your existing actors and match their names. Those that pass will be rebuilt. Schedule this for maximum effectiveness. It can also rebuild itself!"
"https://apify.com/mvolfik/yet-another-dataset-translator","Yet Another Dataset Translator","mvolfik/yet-another-dataset-translator","Actor to translate datasets with field selection and source language detection. Requires Google Translate API Key."
"https://apify.com/mshopik/machines-online-store-scraper","Machines Online Store Scraper","mshopik/machines-online-store-scraper","Scrape Machines Online Store and extract data on consumer electronics from machines.com.my. Our Machines Online Store API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/wwwmaryruthorganicscom-scraper","www.maryruthorganics.com Scraper","mshopik/wwwmaryruthorganicscom-scraper","Scrape www.maryruthorganics.com and extract data on vitamins and supplements from maryruthorganics.com. Our www.maryruthorganics.com API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/shop-shashi-scraper","SHOP SHASHI Scraper","mshopik/shop-shashi-scraper","Scrape SHOP SHASHI and extract data on clothing accessories from shopshashi.com. Our SHOP SHASHI API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/outerknown-scraper","Outerknown Scraper","mshopik/outerknown-scraper","Scrape Outerknown and extract data on apparel from outerknown.com. Our Outerknown API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/focused_berimbau/oxford-english-dictionary","Oxford English Dictionary","focused_berimbau/oxford-english-dictionary","Scrape words, definitions, part of speech, percentage_popularity from the Oxford English Dictionary"
"https://apify.com/canadesk/spell-checker","Spell Checker","canadesk/spell-checker","A spell checker (grammar, typos, unknown words...) that supports many languages. It's fast and costs little."
"https://apify.com/mshopik/blissy-scraper","Blissy Scraper","mshopik/blissy-scraper","Scrape Blissy and extract data on bed and bath from blissy.com. Our Blissy API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/puce_monitor/tiktok-uploader-v1","TIKTOK UPLOADER IS HERE","puce_monitor/tiktok-uploader-v1","Hi ! Please always read ""README"" on ""INFORMATION TAB"" /// You just seeing a lot of TIKTOK AUTOMATION is just for CRAWLER.. Im here to help you out to UPLOAD on tiktok using this automation"
"https://apify.com/mshopik/solestage-scraper","Solestage Solestage Scraper","mshopik/solestage-scraper","Scrape Solestage Solestage and extract data on footwear from solestage.com. Our Solestage Solestage API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/coconut-lane-scraper","Coconut Lane Scraper","mshopik/coconut-lane-scraper","Scrape Coconut Lane and extract data on  from coconut-lane.com. Our Coconut Lane API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/zuzka/ctv-news-scraper","CTV News Scraper","zuzka/ctv-news-scraper","Scrape news data from ctvnews.ca with this unofficial API. Extract articles, monitor their popularity and performance and automate the fight against fake news. Filter the results by authors, topics, categories, or publication dates. Preview or download the results in your preferred format."
"https://apify.com/mscraper/ollies-store-location-scraper","Ollies Store Location Scraper","mscraper/ollies-store-location-scraper","Extract the location of stores from America's largest closeout retailer. Input your zip code, city or zip code and scrape the location, address, opening hours, and distance of the closest Ollie's stores. Export this data in Excel, HTML, or JSON."
"https://apify.com/mshopik/killstar-uk-scraper","KILLSTAR UK Store Scraper","mshopik/killstar-uk-scraper","Scrape KILLSTAR UK Store and extract data on apparel from killstar.com. Our KILLSTAR UK Store API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/omaze-scraper","Omaze Scraper","mshopik/omaze-scraper","Scrape Omaze and extract data on  from omaze.com. Our Omaze API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
